MonthYear,CensusTract_2010,TotalReports,CensusTract_2010_ID,CensusTract_2010_NAME,CountyName_2010,GEOID_SCT,CensusBlockID_list,Zipcode_list,Ticket_list,Classification_list,Month,Year
May-2020,21.03,1,2103,Census Tract 21.03,Westchester County,36119002103,[1016],[10707],['WL20004583'],['M'],5,2020
May-2020,21.01,1,2101,Census Tract 21.01,Westchester County,36119002101,[1003],[10710],['WL20004568'],['M'],5,2020
May-2020,20.0,2,2000,Census Tract 20,Westchester County,36119002000,"[3000, 3004]","[10710, 10710]","['WL20005037', 'WL20004696']","['M', 'M']",5,2020
May-2020,17.0,2,1700,Census Tract 17,Westchester County,36119001700,"[6011, 5002]","[10701, 10701]","['WL20004784', 'WL20004798']","['P', 'P']",5,2020
May-2020,15.04,1,1504,Census Tract 15.04,Westchester County,36119001504,[4000],[10704],['WL20004685'],['P'],5,2020
May-2020,15.03,1,1503,Census Tract 15.03,Westchester County,36119001503,[1008],[10704],['WL20004667'],['M'],5,2020
May-2020,15.02,1,1502,Census Tract 15.02,Westchester County,36119001502,[2005],[10704],['WL20004671'],['M'],5,2020
May-2020,13.03,2,1303,Census Tract 13.03,Westchester County,36119001303,"[1001, 2002]","[10705, 10705]","['WL20004692', 'WL20004575']","['M', 'P']",5,2020
May-2020,13.01,1,1301,Census Tract 13.01,Westchester County,36119001301,[2004],[10705],['WL20005050'],['M'],5,2020
May-2020,11.02,1,1102,Census Tract 11.02,Westchester County,36119001102,[2011],[10701],['WL20004815'],['P'],5,2020
May-2020,10.0,1,1000,Census Tract 10,Westchester County,36119001000,[1002],[10701],['WL20004867'],['P'],5,2020
May-2020,7.01,2,701,Census Tract 7.01,Westchester County,36119000701,"[2009, 1000]","[10701, 10701]","['WL20004922', 'WL20004925']","['P', 'M']",5,2020
May-2020,6.0,3,600,Census Tract 6,Westchester County,36119000600,"[4000, 3005, 3004]","[10703, 10701, 10701]","['WL20004951', 'WL20004637', 'WL20004597']","['P', 'P', 'P']",5,2020
May-2020,2.01,1,201,Census Tract 2.01,Westchester County,36119000201,[3000],[10705],['WL20004639'],['M'],5,2020
May-2020,1621.0,1,162100,Census Tract 1621,Queens County,36081162100,[2008],[11426],['QL20003249'],['P'],5,2020
May-2020,1579.03,1,157903,Census Tract 1579.03,Queens County,36081157903,[2002],[11004],['QL20003272'],['P'],5,2020
May-2020,1571.02,1,157102,Census Tract 1571.02,Queens County,36081157102,[1002],[11426],['QL20003157'],['M'],5,2020
May-2020,1571.01,1,157101,Census Tract 1571.01,Queens County,36081157101,[1004],[11426],['QL20003116'],['M'],5,2020
May-2020,1459.0,1,145900,Census Tract 1459,Queens County,36081145900,[1001],[11358],['QL20003245'],['P'],5,2020
