,avg_houshold_size,nonfamily_housholds%,lonely_housholder%,lonely_housholder_over65%,housholders_grandparents_responsible_for_grandchildren%,geoid,unemployed%,median_houshold_income,mean_houshold_income,total_housing_units,occupied_housing_units%,vacant_housing_units%,total_population,median_age,not_us_citizen%
4300,2.66,23.715794527124338,22.61161785885741,10.129620739318293,1.6802688430148822,36005005100,10.5,16844,26571,2143,97.2,2.8,5588,29.6,11.202576950608446
4301,2.82,30.421118793211807,29.85543683218102,4.902576995600252,5.216844751728472,36005005300,29.4,16210,26310,1694,93.9,6.1,4483,24.4,10.439437876422039
4302,2.35,40.87784241142253,37.38762559492332,8.514013749338973,1.3220518244315178,36005006300,9.0,35827,58409,1988,95.1,4.9,4497,36.0,23.037580609295087
4303,3.27,33.772455089820355,24.910179640718564,11.077844311377245,1.976047904191617,36005007600,11.2,35369,43795,1770,94.4,5.6,5458,32.8,26.145108098204474
4304,3.02,20.133667502088553,19.548872180451127,4.260651629072681,2.9239766081871337,36005009000,11.1,26771,58238,1217,98.4,1.6,3620,34.8,13.370165745856355
4305,3.19,32.07324276432368,26.993502658003546,7.088009450679269,3.6621382161842884,36005009300,7.5,33708,42549,1965,86.2,13.8,6104,31.7,32.650720838794236
4306,3.21,21.96382428940568,21.188630490956076,13.307493540051679,3.617571059431525,36005009600,18.9,47917,59327,824,93.9,6.1,2683,38.1,10.510622437569884
4307,2.91,34.86238532110092,31.926605504587158,10.825688073394497,6.972477064220184,36005011700,16.9,23149,31714,620,87.9,12.1,1586,26.6,14.24968474148802
4308,3.42,20.866935483870968,18.39717741935484,7.963709677419355,1.4616935483870968,36005014701,28.6,14927,25048,2061,96.3,3.7,7120,24.6,11.72752808988764
4309,3.22,19.710669077757686,19.047619047619047,7.112718505123568,3.0741410488245933,36005014702,6.0,21893,32978,1659,100.0,0.0,5348,26.6,14.82797307404637
4310,2.84,26.263736263736266,25.71428571428571,11.758241758241756,0.7692307692307693,36005015200,11.5,70917,84432,956,95.2,4.8,2586,40.7,6.805877803557618
4311,2.86,29.71014492753623,26.811594202898554,12.028985507246375,3.91304347826087,36005015900,6.4,17778,33224,705,97.9,2.1,1971,39.5,14.916286149162861
4312,3.18,25.08620689655172,24.13793103448276,3.0172413793103448,2.155172413793104,36005017902,12.6,23276,37043,1182,98.1,1.9,3701,32.6,22.66954877060254
4313,3.63,16.225165562913908,16.225165562913908,2.7317880794701987,7.0364238410596025,36005017701,9.8,31225,58978,1426,84.7,15.3,4812,30.4,24.064837905236907
4314,3.36,33.41094295692666,25.84400465657741,6.402793946449361,4.132712456344588,36005017702,15.9,33426,57042,1868,92.0,8.0,5786,32.2,26.49498790183201
4315,2.98,27.913927077106994,23.132098027495516,4.781829049611477,0.5977286312014346,36005017901,7.7,37127,43929,1774,94.3,5.7,5006,29.9,18.377946464242907
4316,2.96,26.02870813397129,22.679425837320576,6.794258373205742,1.818181818181818,36005018101,7.9,23750,40451,1096,95.3,4.7,3107,29.5,22.594142259414227
4317,3.39,27.638804148871266,23.184868822452717,7.01647345942648,2.318486882245272,36005018102,16.7,33273,43323,1719,95.3,4.7,5791,31.6,29.943015023312036
4318,2.02,52.28070175438596,47.91979949874687,28.270676691729328,1.7042606516290728,36005018301,8.5,31638,49932,2054,97.1,2.9,4022,43.5,14.7687717553456
4319,2.59,44.3544759334233,34.50292397660819,11.246063877642825,2.2941970310391366,36061017200,16.8,32537,53307,2477,89.7,10.3,5783,32.1,18.225834342037007
4320,2.46,57.754927163667524,39.50299914310197,9.554413024850042,4.455869751499573,36061021303,3.2,46625,64780,2573,90.7,9.3,6001,35.3,17.847025495750707
4321,2.67,40.999397953040344,30.282962071041545,5.659241420830826,0.7224563515954244,36061021500,5.2,42832,64463,1691,98.2,1.8,4469,30.8,13.202058626090848
4322,2.0,0.0,0.0,0.0,0.0,36061021703,0.0,-666666666,-999999999,4,100.0,0.0,8,-666666666.0,0.0
4323,2.2,58.529020824102794,47.00930438635357,12.494461674789546,0.0,36061022700,6.0,52386,74079,2516,89.7,10.3,5201,36.7,12.536050759469333
4324,2.57,53.872180451127825,33.308270676691734,5.977443609022557,5.3007518796992485,36061023100,6.3,48045,75562,3063,86.8,13.2,6901,34.7,20.069555136936675
4325,2.12,48.9604462474645,37.57606490872211,12.880324543610547,0.0,36061023801,6.4,100278,128945,4489,87.9,12.1,8533,37.5,39.62264150943396
