,geoid,White,Black | Afr American,American Indian|Alaska Native,Asian,Native Hawaiian,Other race,Hispanic|Latino (any race),Asian:Asian Indian,Asian:Chinese,Asian:Filipino,Asian:Japanese,Asian:Korean,Asian:Vietnamese,Asian:Other Asian,Hispanic|Latino: Mexican,Hispanic|Latino: Puerto Rican,Hispanic|Latino: Cuban,total_population,incident_year,Two races,gas_leaks,gas_leaks_per_person
606,36047037402,19186.0,1207.0,0.0,4087.0,0.0,2440.0,3478.0,68.0,1596.0,0.0,0.0,0.0,0.0,2423.0,0.0,3177.0,45.0,27332.0,12093,412.0,37,0.001353724571930338
607,36047037500,3734.0,11738.0,336.0,1668.0,0.0,880.0,3479.0,340.0,498.0,26.0,29.0,99.0,23.0,653.0,673.0,1412.0,86.0,18664.0,12093,308.0,44,0.002357479639948564
608,36047037700,2640.0,19148.0,155.0,465.0,0.0,2139.0,3783.0,36.0,146.0,0.0,0.0,37.0,0.0,246.0,304.0,2156.0,134.0,25043.0,12093,496.0,115,0.00459210158527333
609,36047037900,1830.0,18745.0,0.0,88.0,0.0,956.0,1577.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,126.0,700.0,187.0,21841.0,12093,222.0,190,0.008699235382995284
610,36047038100,2117.0,26284.0,0.0,73.0,0.0,2419.0,3815.0,48.0,0.0,0.0,0.0,0.0,8.0,17.0,681.0,1977.0,0.0,31226.0,12093,333.0,68,0.0021776724524434766
611,36047038200,5750.0,14420.0,45.0,8188.0,0.0,5524.0,10564.0,250.0,7183.0,122.0,0.0,101.0,202.0,330.0,1326.0,6072.0,135.0,35294.0,12093,1367.0,115,0.0032583441944806484
612,36047038300,1924.0,22634.0,0.0,613.0,0.0,1199.0,2651.0,390.0,62.0,0.0,0.0,88.0,0.0,73.0,437.0,892.0,0.0,26865.0,12093,495.0,48,0.0017867113344500279
613,36047038500,3288.0,14943.0,61.0,738.0,0.0,1076.0,3917.0,287.0,335.0,0.0,0.0,116.0,0.0,0.0,346.0,1442.0,213.0,20587.0,12093,481.0,85,0.004128819157720892
614,36047038600,10763.0,19.0,0.0,8501.0,0.0,1830.0,4479.0,402.0,7063.0,0.0,8.0,414.0,8.0,606.0,888.0,1447.0,109.0,21360.0,12093,247.0,58,0.0027153558052434457
615,36047038700,5102.0,16335.0,117.0,1374.0,0.0,681.0,5319.0,227.0,92.0,48.0,0.0,115.0,0.0,892.0,691.0,2173.0,0.0,23932.0,12093,323.0,82,0.003426374728397125
